ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JIOLSTJ,13,TILJSO;TLJJSO;ILJJSO;TILJJS;TILJJO,J;I;T;O;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8i0zhC8glQ4j0D8glR4RpE8hlQ4Rpg0C8JeAgWG?AvyjPCp/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8Q4zhh0C8R4ilg0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAv/rtCK+AAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA;v115@9gA8k0R4C8hlRpR4D8g0glRpg0E8g0glzhC8JeAgWG?AJHstCq/AAA;v115@9gA8glQ4k0C8glR4Rpg0D8hlQ4RpE8zhh0C8JeAgWG?AJHstCq/AAA
JLOZSIT,1,TILSZO;TIJSZO,J;L,v115@9gA8zhywC8h0BtR4D8g0RpBtE8g0RpR4wwC8JeAgWG?Av3ntCU+AAA
JIZLTJS,10,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;L;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8Bti0R4C8h0zhD8g0Btglg0E8g0ilR4C8JeAgWG?AsPNFDKNBAA;v115@9gA8g0R4zhC8i0ilD8i0BtE8R4g0glBtC8JeAgWGA6?/TPCT+AAA;v115@9gA8hlh0AtR4C8h0zhD8g0glg0BtE8g0glg0AtR4C8?JeAgWGAKezPCMNBAA;v115@9gA8h0whg0AtR4C8hlwhi0D8g0glwhBtE8g0glwhAt?R4C8JeAgWGApiPFDKNBAA;v115@9gA8whi0AtR4C8whhli0D8whg0glBtE8whg0glAtR4?C8JeAgWGAMePFDKNBAA;v115@9gA8ilh0R4C8glAtg0ywD8Bth0wwE8Ati0R4C8JeAg?WGA6/VWCKNBAA;v115@9gA8i0BtR4C8g0ilBtD8g0gli0E8zhR4C8JeAgWGAp?3/VCKNBAA;v115@9gA8Bti0R4C8g0BtilD8i0glg0E8zhR4C8JeAgWGAp?/TFDKNBAA;v115@9gA8glh0BtR4C8gli0BtD8hli0E8zhR4C8JeAgWGAp?XUPCKNBAA
JOLZSIT,3,TILSZO;TIJSZO,J;L,v115@9gA8whg0ywR4C8whi0R4D8whRpBtE8whRpwwBtC8Je?AgWGAaXltCqOBAA;v115@9gA8zhywC8i0R4wwD8Rpg0BtE8RpR4BtC8JeAgWGAa?nntCU+AAA;v115@9gA8zhywC8h0BtR4D8g0RpBtE8g0RpR4wwC8JeAgWG?Av3ntCU+AAA
JOLSZIT,2,TIJSZO,L,v115@9gA8zhywC8i0BtwwD8Rpg0R4E8RpR4BtC8JeAgWGAT?nPFDU+AAA;v115@9gA8zhywC8h0BtR4D8g0RpR4E8g0RpBtwwC8JeAgWG?APtPFDU+AAA
JZILTJS,9,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;L;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8Bti0R4C8h0zhD8g0Btglg0E8g0ilR4C8JeAgWG?AsPNFDKNBAA;v115@9gA8g0R4zhC8i0ilD8i0BtE8R4g0glBtC8JeAgWGA6?/TPCT+AAA;v115@9gA8hlh0AtR4C8h0zhD8g0glg0BtE8g0glg0AtR4C8?JeAgWGAKezPCMNBAA;v115@9gA8h0whg0AtR4C8hlwhi0D8g0glwhBtE8g0glwhAt?R4C8JeAgWGApiPFDKNBAA;v115@9gA8whi0AtR4C8whhli0D8whg0glBtE8whg0glAtR4?C8JeAgWGAMePFDKNBAA;v115@9gA8ilh0R4C8glAtg0ywD8Bth0wwE8Ati0R4C8JeAg?WGA6/VWCKNBAA;v115@9gA8i0BtR4C8g0ilBtD8g0gli0E8zhR4C8JeAgWGAp?3/VCKNBAA;v115@9gA8glh0BtR4C8gli0BtD8hli0E8zhR4C8JeAgWGAp?XUPCKNBAA
JLOSZIT,1,TILSZO;TIJSZO,J;L,v115@9gA8zhywC8h0BtR4D8g0RpR4E8g0RpBtwwC8JeAgWG?APtPFDU+AAA
JLSOZIT,2,TILSZO;TIJSZO,J;L,v115@9gA8BtRpywC8h0RpR4D8g0BtR4E8g0zhwwC8JeAgWG?AJtHgC6OBAA;v115@9gA8zhywC8RpBtR4D8i0R4E8Rpg0BtwwC8JeAgWGAz?frgCU+AAA
JTISLJZ,6,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;L;Z;J;I,v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8Bti0R4C8zhR4D8ilh0E8glBti0C8JeAgWGAqyL?MCqXBAA;v115@9gA8Btglh0R4C8ilg0R4D8g0Btg0wwE8i0ywC8JeAg?WGA0vjPCsXBAA;v115@9gA8h0glBtR4C8ilwwR4D8h0ywE8j0BtC8JeAgWGAq?+TWCqXBAA
JTISLZJ,5,TILJJZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;Z;J;I,v115@9gA8h0Ath0R4C8g0Btg0R4D8g0Atglg0wwE8ilywC8?JeAgWGA0yjPC6/AAA;v115@9gA8k0R4C8Bth0R4D8ilg0wwE8glBtywC8JeAgWGA0?yjPC6/AAA;v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8Q4Btg0ywC8R4BtglwwD8g0Q4ilE8l0C8JeAgWG?AqyjFD0/AAA;v115@9gA8Q4Btg0ilC8R4zhD8g0Q4BtglE8l0C8JeAgWGAK?ujFDs/AAA
