ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
JTISZLJ,5,TILJJZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8Q4Btg0ilC8R4zhD8g0Q4BtglE8l0C8JeAgWGAK?ujFDs/AAA
JOILSTJ,13,TILJSO;TLJJSO;ILJJSO;TILJJS;TILJJO;TIJJSO,J;I;T;O;S;L,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8g0zhR4C8j0R4D8RpilE8Rpgli0C8JeAgWGAvin?tCK+AAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8i0zhC8glQ4j0D8glR4RpE8hlQ4Rpg0C8JeAgWG?AvyjPCp/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8g0zhh0C8i0R4g0D8RpR4glE8Rpilg0C8JeAgWG?AM3jPCK+AAA;v115@9gA8Q4zhh0C8R4ilg0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAv/rtCK+AAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA
JZILTSJ,3,TILJJZ;TIJJSZ;ILJJSZ;TLJJSZ;TILJSZ,S;L;T;I;J,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA
JOISLTJ,14,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO;TIJJSO,J;I;O;T;S;L,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8g0zhR4C8j0R4D8RpilE8Rpgli0C8JeAgWGAvin?tCK+AAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Rpi0R4C8zhR4D8Rpglh0E8ili0C8JeAgWGAqyL?MCv/AAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8Q4zhh0C8R4ilg0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAv/rtCK+AAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA;v115@9gA8h0RpglR4C8zhR4D8h0RpglE8j0hlC8JeAgWGAK?d9VCv/AAA;v115@9gA8j0glR4C8zhR4D8Rph0glE8Rph0hlC8JeAgWGAP?d9VCq/AAA
JIZLTSJ,3,TILJJZ;TIJJSZ;ILJJSZ;TILJJS;TLJJSZ;TILJSZ,S;L;T;Z;I;J,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA
JILZTSJ,3,TILJJZ;TIJJSZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;L;T;Z;J;I,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8h0AtzhC8g0Btg0R4D8g0AtglR4E8ili0C8JeAg?WGAMtzPCK+AAA
JILTZSJ,0,TILJJZ;TILJJS;TILJSZ,S;Z;J,
JILTSZJ,3,TILJJZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;Z;J;I,v115@9gA8i0zhC8Bth0R4D8ilR4E8glBti0C8JeAgWGAziP?FDp/AAA;v115@9gA8Bti0R4C8gli0R4D8glBth0E8hlzhC8JeAgWGAp?yjPC6/AAA;v115@9gA8Q4Btg0ywC8R4BtglwwD8g0Q4ilE8l0C8JeAgWG?AqyjFD0/AAA
JLSZOIT,1,TIJSZO,L,v115@9gA8zhywC8RpBtR4D8i0R4E8Rpg0BtwwC8JeAgWGAz?frgCU+AAA
JTIZSLJ,5,TILJJZ;TIJJSZ;ILJJSZ;TILJJS;TILJSZ;TLJJSZ,S;L;T;Z;J;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8whi0glR4C8whh0AtR4D8whg0BtglE8whg0Atg0?hlC8JeAgWGA6PltCs/AAA
JLSZIOT,0,,,
JLSZITO,0,TILJSO;TILJSZ,Z;O,
JLSIZTO,2,TILJSO;TIJSZO,Z;L,v115@9gA8RpywR4C8zhR4D8i0BtE8Rpg0wwBtC8JeAgWGA6?vLMCvOBAA;v115@9gA8RpBtywC8zhR4D8i0R4E8Rpg0BtwwC8JeAgWGAz?PNFDvOBAA
JILTSJZ,8,TILJJZ;ILJJSZ;TIJJSZ;TILJJS;TILJSZ;TLJJSZ,S;T;L;Z;J;I,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8i0zhC8Bth0R4D8ilR4E8glBti0C8JeAgWGAziP?FDp/AAA;v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8Bti0R4C8zhR4D8ilh0E8glBti0C8JeAgWGAqyL?MCqXBAA;v115@9gA8Bti0R4C8gli0R4D8glBth0E8hlzhC8JeAgWGAp?yjPC6/AAA;v115@9gA8i0BtR4C8g0ilR4D8g0gli0E8zhBtC8JeAgWGAJ?t/VCqXBAA;v115@9gA8h0glBtR4C8ilwwR4D8h0ywE8j0BtC8JeAgWGAq?+TWCqXBAA;v115@9gA8glh0BtR4C8gli0R4D8hli0E8zhBtC8JeAgWGAJ?NUPCqXBAA
JIOSLTJ,13,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO,J;I;O;T;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Rpi0R4C8zhR4D8Rpglh0E8ili0C8JeAgWGAqyL?MCv/AAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8Q4zhh0C8R4ilg0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAv/rtCK+AAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA;v115@9gA8k0R4C8hlRpR4D8g0glRpg0E8g0glzhC8JeAgWG?AJHstCq/AAA;v115@9gA8h0RpglR4C8zhR4D8h0RpglE8j0hlC8JeAgWGAK?d9VCv/AAA
JISOLTJ,14,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO,J;I;O;T;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8Rpi0R4C8zhR4D8Rpglh0E8ili0C8JeAgWGAqyL?MCv/AAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8glRpzhC8glRpg0R4D8i0R4E8hlj0C8JeAgWGAz?f/VCP+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8RpR4ilC8RpzhD8g0R4g0glE8l0C8JeAgWGAqPF?gCzCBAA;v115@9gA8Rpk0C8RpglQ4h0D8ilR4E8zhQ4g0C8JeAgWGAJ?NUPCv/AAA;v115@9gA8Q4zhh0C8R4ilg0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAv/rtCK+AAA;v115@9gA8whi0glR4C8whi0R4D8whRpg0glE8whRpg0hlC8?JeAgWGAPujPCs/AAA;v115@9gA8k0R4C8hlRpR4D8g0glRpg0E8g0glzhC8JeAgWG?AJHstCq/AAA;v115@9gA8h0RpglR4C8zhR4D8h0RpglE8j0hlC8JeAgWGAK?d9VCv/AAA
JILSTJZ,9,TILJJZ;ILJJSZ;TILJJS;TLJJSZ,S;T;Z;I,v115@9gA8h0ywR4C8h0glwwR4D8h0glBtE8h0hlBtC8JeAg?WGA6intCqOBAA;v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8i0zhC8Bth0R4D8ilR4E8glBti0C8JeAgWGAziP?FDp/AAA;v115@9gA8ilBtR4C8gli0R4D8g0zhE8j0BtC8JeAgWGAKen?tCsXBAA;v115@9gA8Bti0R4C8zhR4D8ilh0E8glBti0C8JeAgWGAqyL?MCqXBAA;v115@9gA8Bti0R4C8gli0R4D8glBth0E8hlzhC8JeAgWGAp?yjPC6/AAA;v115@9gA8Q4zhh0C8R4Btglg0D8g0Q4ilE8i0Btg0C8JeAg?WGAqyjFDK+AAA;v115@9gA8i0BtR4C8g0ilR4D8g0gli0E8zhBtC8JeAgWGAJ?t/VCqXBAA;v115@9gA8glh0BtR4C8gli0R4D8hli0E8zhBtC8JeAgWGAJ?NUPCqXBAA
JISLOTJ,14,TILJSO;TLJJSO;TILJJS;ILJJSO;TILJJO,J;I;O;T;S,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8ilzhC8glR4i0D8i0RpE8R4g0Rpg0C8JeAgWGAv?vjPCpCBAA;v115@9gA8Rpi0R4C8zhR4D8Rpglh0E8ili0C8JeAgWGAqyL?MCv/AAA;v115@9gA8i0zhC8Rph0R4D8RpglR4E8ili0C8JeAgWGAM9a?PCp/AAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8Rpg0zhC8Rph0R4D8ilR4E8glk0C8JeAgWGAziP?PCP+AAA;v115@9gA8glRpzhC8glRpg0R4D8i0R4E8hlj0C8JeAgWGAz?f/VCP+AAA;v115@9gA8hli0R4C8h0RpR4D8g0glRpg0E8g0glzhC8JeAg?WGAJnntCs/AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8Rpk0C8RpglQ4h0D8ilR4E8zhQ4g0C8JeAgWGAJ?NUPCv/AAA;v115@9gA8k0R4C8hlRpR4D8g0glRpg0E8g0glzhC8JeAgWG?AJHstCq/AAA;v115@9gA8h0RpglR4C8zhR4D8h0RpglE8j0hlC8JeAgWGAK?d9VCv/AAA
JISLTOJ,11,TILJSO;TLJJSO;TILJJS;TILJJO;ILJJSO,J;I;O;S;T,v115@9gA8RpilR4C8Rpglg0R4D8g0zhE8l0C8JeAgWGAKen?tCvCBAA;v115@9gA8ilRph0C8glR4Rpg0D8R4i0E8zhh0C8JeAgWGAp?vjPCvCBAA;v115@9gA8ilzhC8glRpg0R4D8g0RpR4E8l0C8JeAgWGAK9a?PCpCBAA;v115@9gA8Rpi0R4C8zhR4D8Rpglh0E8ili0C8JeAgWGAqyL?MCv/AAA;v115@9gA8i0zhC8Rph0R4D8RpglR4E8ili0C8JeAgWGAM9a?PCp/AAA;v115@9gA8Q4hlzhC8R4gli0D8g0Q4glRpE8i0Rpg0C8JeAg?WGAvvTWCK+AAA;v115@9gA8Rpg0zhC8Rph0R4D8ilR4E8glk0C8JeAgWGAziP?PCP+AAA;v115@9gA8glRpzhC8glRpg0R4D8i0R4E8hlj0C8JeAgWGAz?f/VCP+AAA;v115@9gA8RpQ4hlh0C8RpR4glg0D8g0zhE8i0Q4glg0C8Je?AgWGAKentCMHBAA;v115@9gA8Rpk0C8RpglQ4h0D8ilR4E8zhQ4g0C8JeAgWGAJ?NUPCv/AAA;v115@9gA8h0RpglR4C8zhR4D8h0RpglE8j0hlC8JeAgWGAK?d9VCv/AAA
JTZISLJ,6,TILJJZ;TIJJSZ;ILJJSZ;TILJSZ;TILJJS;TLJJSZ,S;L;T;J;Z;I,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8whi0glR4C8whh0AtR4D8whg0BtglE8whg0Atg0?hlC8JeAgWGA6PltCs/AAA;v115@9gA8k0R4C8ilg0R4D8ywBtE8glwwh0BtC8JeAgWGA6?u/VCz/AAA
JILSTZJ,6,TILJJZ;ILJJSZ;TILJJS;TLJJSZ;TILJSZ,S;T;Z;I;J,v115@9gA8i0zhC8Bth0R4D8ilR4E8glBti0C8JeAgWGAziP?FDp/AAA;v115@9gA8h0AtQ4ywC8g0BtR4wwD8g0Atglg0Q4E8ili0C8?JeAgWGAqyjFDqOBAA;v115@9gA8i0Q4ywC8Btg0R4wwD8ilg0Q4E8glBti0C8JeAg?WGAqyjFD0/AAA;v115@9gA8Bti0R4C8gli0R4D8glBth0E8hlzhC8JeAgWGAp?yjPC6/AAA;v115@9gA8Q4Btg0ywC8R4BtglwwD8g0Q4ilE8l0C8JeAgWG?AqyjFD0/AAA;v115@9gA8Q4Btg0ilC8R4zhD8g0Q4BtglE8l0C8JeAgWGAK?ujFDs/AAA
JZTISLJ,7,ILJJSZ;TILJJZ;TIJJSZ;TILJSZ;TLJJSZ;TILJJS,T;S;L;J;I;Z,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8whg0ilR4C8whi0R4D8whg0glBtE8whi0BtC8Je?AgWGA6PltCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8whi0glR4C8whh0AtR4D8whg0BtglE8whg0Atg0?hlC8JeAgWGA6PltCs/AAA;v115@9gA8k0R4C8ilg0R4D8ywBtE8glwwh0BtC8JeAgWGA6?u/VCz/AAA
JILSZTJ,7,TILJJZ;ILJJSZ;TILJJS;TLJJSZ;TILJSZ,S;T;Z;I;J,v115@9gA8i0zhC8Bth0R4D8ilR4E8glBti0C8JeAgWGAziP?FDp/AAA;v115@9gA8h0AtQ4ywC8g0BtR4wwD8g0Atglg0Q4E8ili0C8?JeAgWGAqyjFDqOBAA;v115@9gA8i0Q4ywC8Btg0R4wwD8ilg0Q4E8glBti0C8JeAg?WGAqyjFD0/AAA;v115@9gA8Bti0R4C8gli0R4D8glBth0E8hlzhC8JeAgWGAp?yjPC6/AAA;v115@9gA8Q4Btg0ywC8R4BtglwwD8g0Q4ilE8l0C8JeAgWG?AqyjFD0/AAA;v115@9gA8Q4zhh0C8R4Btglg0D8g0Q4ilE8i0Btg0C8JeAg?WGAqyjFDK+AAA;v115@9gA8Q4Btg0ilC8R4zhD8g0Q4BtglE8l0C8JeAgWGAK?ujFDs/AAA
JZTSILJ,10,ILJJSZ;TILJJZ;TIJJSZ;TILJSZ;TLJJSZ;TILJJS,T;S;L;J;I;Z,v115@9gA8ilh0R4C8glAth0R4D8Bth0wwE8Ath0ywC8JeAg?WGA03ntCqCBAA;v115@9gA8ilzhC8glAth0R4D8Btg0R4E8Atk0C8JeAgWGAz?3PPCpCBAA;v115@9gA8whg0ilR4C8whi0R4D8whg0glBtE8whi0BtC8Je?AgWGA6PltCqCBAA;v115@9gA8h0ilR4C8h0glAtR4D8h0BtwwE8h0AtywC8JeAg?WGA03ntCqCBAA;v115@9gA8Q4i0ywC8R4ilwwD8g0Q4glBtE8j0BtC8JeAgWG?A6/rtC0/AAA;v115@9gA8h0ilR4C8zhR4D8h0glBtE8j0BtC8JeAgWGA6vL?MCqCBAA;v115@9gA8glzhR4C8gli0R4D8i0BtE8hlh0BtC8JeAgWGA6?/TPCT+AAA;v115@9gA8Q4Bthlh0C8R4Btglg0D8g0Q4ywE8i0wwglg0C8?JeAgWGAq+jPCsXBAA;v115@9gA8whi0glR4C8whh0AtR4D8whg0BtglE8whg0Atg0?hlC8JeAgWGA6PltCs/AAA;v115@9gA8k0R4C8ilg0R4D8ywBtE8glwwh0BtC8JeAgWGA6?u/VCz/AAA
